segm_idx,tablet_CDLI,view_desc,collection,mzl_label,train_label,bbox,relative_bbox
1681,P334896,Obv,saa05,869,10,"[542, 121, 584, 164]","[162, 87, 204, 130]"
1681,P334896,Obv,saa05,661,16,"[580, 121, 617, 161]","[200, 87, 237, 127]"
1681,P334896,Obv,saa05,5,184,"[466, 152, 551, 208]","[86, 118, 171, 174]"
1681,P334896,Obv,saa05,661,16,"[534, 165, 563, 203]","[154, 131, 183, 169]"
1681,P334896,Obv,saa05,380,62,"[558, 163, 603, 203]","[178, 129, 223, 169]"
1681,P334896,Obv,saa05,869,10,"[597, 156, 640, 212]","[217, 122, 260, 178]"
1681,P334896,Obv,saa05,258,183,"[534, 204, 614, 239]","[154, 170, 234, 205]"
1681,P334896,Obv,saa05,16,73,"[423, 240, 505, 288]","[43, 206, 125, 254]"
1681,P334896,Obv,saa05,828,88,"[500, 238, 547, 282]","[120, 204, 167, 248]"
1681,P334896,Obv,saa05,142,76,"[540, 236, 608, 283]","[160, 202, 228, 249]"
1681,P334896,Obv,saa05,252,80,"[402, 280, 462, 316]","[22, 246, 82, 282]"
1681,P334896,Obv,saa05,298,52,"[465, 279, 540, 322]","[85, 245, 160, 288]"
1681,P334896,Obv,saa05,358,21,"[538, 280, 613, 323]","[158, 246, 233, 289]"
1681,P334896,Obv,saa05,812,82,"[438, 322, 497, 369]","[58, 288, 117, 335]"
1681,P334896,Obv,saa05,589,18,"[487, 316, 538, 367]","[107, 282, 158, 333]"
1681,P334896,Obv,saa05,464,113,"[527, 319, 569, 371]","[147, 285, 189, 337]"
1681,P334896,Obv,saa05,548,57,"[564, 315, 617, 365]","[184, 281, 237, 331]"
1681,P334896,Obv,saa05,110,4,"[434, 362, 488, 415]","[54, 328, 108, 381]"
1681,P334896,Obv,saa05,491,102,"[487, 364, 563, 413]","[107, 330, 183, 379]"
1681,P334896,Obv,saa05,552,13,"[559, 359, 598, 407]","[179, 325, 218, 373]"
1681,P334896,Obv,saa05,490,30,"[408, 414, 489, 459]","[28, 380, 109, 425]"
1681,P334896,Obv,saa05,859,1,"[484, 413, 522, 455]","[104, 379, 142, 421]"
1681,P334896,Obv,saa05,561,65,"[521, 414, 588, 455]","[141, 380, 208, 421]"
1681,P334896,Obv,saa05,839,11,"[436, 463, 475, 509]","[56, 429, 95, 475]"
1681,P334896,Obv,saa05,736,77,"[461, 454, 547, 506]","[81, 420, 167, 472]"
1681,P334896,Obv,saa05,839,11,"[544, 457, 586, 505]","[164, 423, 206, 471]"
1681,P334896,Obv,saa05,497,312,"[421, 507, 514, 554]","[41, 473, 134, 520]"
1681,P334896,Obv,saa05,10,26,"[505, 501, 557, 547]","[125, 467, 177, 513]"
1681,P334896,Obv,saa05,561,65,"[540, 548, 598, 603]","[160, 514, 218, 569]"
